11,오렌지주스
8,탄산수
7,포도주스
7,사과주스
4,코코넛밀크
3,라임주스
2,사이다
2,식혜
1,석류주스
1,코코넛워터
1,자몽주스
1,당근주스
477,소금
325,간장
312,설탕
199,참기름
199,식초
172,올리브유
171,식용유
83,꿀
67,된장
65,올리고당
62,고추장
47,마요네즈
29,발사믹식초
27,케첩
25,육수
24,물엿
23,들기름
18,닭육수
17,머스터드소스
15,굴소스
13,액젓
13,가쓰오부시
11,새우젓
11,다시마육수
11,현미유
10,고추기름
10,일본된장
9,마늘기름
9,토마토소스
6,칠리소스
6,스테비아
4,청국장
4,두반장
4,홍초
4,멸치육수
4,젓갈
4,포도씨유
4,스리라차소스
3,사골육수
3,해물육수
3,쌈장
3,카놀라유
3,야채육수
3,깨소금
3,바질페스토
2,요리당
2,라면스프
2,감식초
2,조청
2,크림소스
2,치킨육수
2,채소육수
2,코코넛오일
2,커민
2,타바스코소스
2,타가토스
1,데리야키소스
1,다시다
1,허브식초
1,치킨스톡
1,소고기육수
1,천연조미료
1,보리된장
1,스위트칠리
1,돈까스소스
1,엿기름
1,백년초
1,명란젓
1,홀스레디쉬
1,흑마늘진액
1,바질럽드
1,살사소스
1,생선육수
1,레드와인식초
1,데미그라스소스
1,우스터소스
1,피쉬소스
1,앤쵸비
1,메이플시럽
1,포도식초
1,슈가파우더
1,베이킹소다
1,해선장
1,코코넛설탕
1,키위소스
1,아보카도유
3,녹차
519,마늘
517,양파
242,당근
168,대파
153,파프리카
125,토마토
112,홍고추
110,표고버섯
108,고추
89,감자
87,오이
81,무
73,애호박
71,단호박
67,방울토마토
62,부추
62,청양고추
62,고구마
61,시금치
61,새송이버섯
61,브로콜리
61,미나리
61,양송이버섯
60,피망
58,가지
57,새싹채소
45,배추
43,느타리버섯
43,양배추
39,팽이버섯
31,쪽파
27,양상추
26,셀러리
24,파슬리
24,오이고추
24,아스파라거스
23,비트
23,연근
22,쑥갓
21,숙주
21,인삼
19,청경채
19,콩나물
18,무순
14,치커리
14,참나물
14,우엉
12,마
12,상추
10,취나물
10,실파
9,레디쉬
9,식용꽃
9,만가닥버섯
9,목이버섯
9,고사리
8,콜리플라워
8,케일
7,도라지
7,더덕
7,톳
6,꽈리고추
5,호박
5,버섯
5,콜라비
5,달래
5,두릅
5,주키니호박
5,곤드레
5,적채
5,로메인
4,호박잎
4,치자
4,시래기
4,죽순
